buffer,epoch,train_loss,val_loss,running_val_avg
89,3,0.1331,0.1218,0.17713608182548138
90,1,0.1676,0.1315,
90,2,0.1585,0.1318,
90,3,0.1549,0.1332,0.1766473544968499
91,1,0.1559,0.1658,
91,2,0.1422,0.1631,
91,3,0.1377,0.166,0.17653070095476214
92,1,0.1656,0.1425,
92,2,0.1521,0.1438,
92,3,0.1478,0.1464,0.17620304081103075
93,1,0.1465,0.1816,
93,2,0.1357,0.1836,
93,3,0.1319,0.1861,0.17630980588415618
94,1,0.1551,0.1534,
94,2,0.1434,0.1539,
94,3,0.1386,0.1562,0.17609535173532812
95,1,0.1277,0.0915,
95,2,0.1165,0.0927,
95,3,0.1124,0.093,0.17522103386489968
96,1,0.1429,0.1708,
96,2,0.1294,0.1757,
96,3,0.1245,0.1829,0.17530130276766917
97,1,0.1472,0.166,
97,2,0.1342,0.1692,
97,3,0.1299,0.1702,0.17524831511617936
98,1,0.18,0.1288,
98,2,0.1664,0.1297,
98,3,0.1627,0.13,0.17478661991807878
99,1,0.1592,0.1538,
99,2,0.1458,0.155,
99,3,0.1404,0.1571,0.17460779507051816
100,1,0.1775,0.1881,
100,2,0.1638,0.1878,
100,3,0.1578,0.1899,0.17476108275353908
