Video,Frame,SIM,CC,NSS,Recall,Area_Pct
139425830-0_517.mp4,580,0.354,0.5895,2.4659,0.8551,0.1551
140646540-0_1500.mp4,0,0.2575,0.5964,4.6562,0.9742,0.0821
140646540-0_1500.mp4,147,0.3793,0.5154,1.7015,0.5382,0.1042
140646540-0_1500.mp4,295,0.2859,0.3862,1.3546,0.3627,0.0845
140646540-0_1500.mp4,442,0.341,0.5794,2.0855,0.801,0.1356
140646540-0_1500.mp4,590,0.3651,0.6004,2.4477,0.8125,0.126
142480306-250_1031.mp4,0,0.2557,0.521,2.8488,0.866,0.0881
142480306-250_1031.mp4,147,0.2995,0.3701,1.1694,0.419,0.128
142480306-250_1031.mp4,295,0.429,0.6764,2.7711,0.8566,0.1066
142480306-250_1031.mp4,442,0.3488,0.5143,1.7745,0.6163,0.1088
142480306-250_1031.mp4,590,0.5584,0.7586,2.8843,0.865,0.1042
142480565-0_1000.mp4,0,0.2689,0.3728,1.3568,0.4603,0.1317
142480565-0_1000.mp4,147,0.3574,0.4487,1.7663,0.5975,0.1162
142480565-0_1000.mp4,295,0.2325,0.4355,1.9481,0.6612,0.1159
142480565-0_1000.mp4,442,0.2389,0.4856,2.1911,0.9032,0.1555
142480565-0_1000.mp4,590,0.2539,0.4688,2.0893,0.7204,0.1321
142480565-3982_5246.mp4,0,0.3434,0.3842,1.2138,0.3406,0.0946
142480565-3982_5246.mp4,147,0.2962,0.2776,0.8259,0.284,0.0991
142480565-3982_5246.mp4,295,0.3299,0.4372,1.3906,0.3376,0.0764
142480565-3982_5246.mp4,442,0.3246,0.4659,1.593,0.6504,0.1296
142480565-3982_5246.mp4,590,0.3557,0.4376,1.4275,0.3924,0.0963
143219023-2891_3984.mp4,0,0.2122,0.526,3.7842,0.9136,0.0911
143219023-2891_3984.mp4,147,0.2709,0.487,1.698,0.5,0.104
143219023-2891_3984.mp4,295,0.3084,0.612,4.1279,0.8947,0.098
143219023-2891_3984.mp4,442,0.2963,0.4898,2.2236,0.7143,0.1081
143219023-2891_3984.mp4,590,0.4088,0.7441,3.5397,0.9259,0.0813
143774318-3004_4581.mp4,0,0.3517,0.7512,5.6232,0.9559,0.062
143774318-3004_4581.mp4,147,0.379,0.589,4.4197,0.7276,0.0562
143774318-3004_4581.mp4,295,0.3794,0.609,4.6356,0.735,0.0546
143774318-3004_4581.mp4,442,0.3904,0.6865,4.8577,0.8564,0.0573
143774318-3004_4581.mp4,590,0.337,0.7172,4.5798,0.971,0.0854
145796283-3954_5736.mp4,0,0.3397,0.4837,1.5544,0.5301,0.1239
145796283-3954_5736.mp4,147,0.273,0.3175,1.1695,0.4164,0.1149
145796283-3954_5736.mp4,295,0.2911,0.3821,1.1805,0.4785,0.1388
145796283-3954_5736.mp4,442,0.3032,0.5555,3.9374,0.8684,0.1074
145796283-3954_5736.mp4,590,0.2829,0.5628,2.8808,0.9196,0.1009
146735968-140_1583.mp4,0,0.4784,0.7637,4.2054,0.9542,0.0798
146735968-140_1583.mp4,147,0.24,0.4514,2.2512,0.8043,0.0971
146735968-140_1583.mp4,295,0.2726,0.6072,4.2411,0.971,0.1395
146735968-140_1583.mp4,442,0.2715,0.3368,1.1908,0.3769,0.1086
146735968-140_1583.mp4,590,0.3188,0.5031,1.7505,0.6762,0.1401
147556715-987_2014.mp4,0,0.398,0.572,2.3031,0.7305,0.097
147556715-987_2014.mp4,147,0.2869,0.5025,1.9803,0.4606,0.0587
147556715-987_2014.mp4,295,0.276,0.3258,1.0446,0.1667,0.0694
147556715-987_2014.mp4,442,0.368,0.5369,1.8861,0.5174,0.089
147556715-987_2014.mp4,590,0.3478,0.4934,1.6726,0.549,0.0969
147866707-0_750.mp4,0,0.1749,0.4801,3.9231,0.9962,0.093
147866707-0_750.mp4,147,0.1864,0.3046,1.1891,0.2607,0.1052
147866707-0_750.mp4,295,0.313,0.4298,1.4776,0.3483,0.0889
147866707-0_750.mp4,442,0.4351,0.7412,3.919,0.9538,0.0883
147866707-0_750.mp4,590,0.4378,0.7482,3.6033,0.9692,0.1033
152043737-0_357.mp4,0,0.309,0.6476,2.7199,0.8605,0.0871
152043737-0_357.mp4,101,0.1696,0.275,1.1582,0.3172,0.1065
152043737-0_357.mp4,203,0.2247,0.4105,1.4039,0.4263,0.1032
152043737-0_357.mp4,305,0.1343,0.2739,1.4916,0.6667,0.117
152043737-0_357.mp4,407,0.177,0.3501,1.4263,0.4688,0.1136
152044612-0_489.mp4,0,0.4102,0.4955,1.4999,0.5058,0.1093
152044612-0_489.mp4,143,0.3862,0.7278,3.9993,0.9282,0.0802
152044612-0_489.mp4,286,0.2725,0.5613,3.312,0.9482,0.0868
152044612-0_489.mp4,429,0.2175,0.4211,2.3584,0.9328,0.1323
152044612-0_489.mp4,572,0.263,0.5236,2.0938,0.8,0.1067
153035804-264_952.mp4,0,0.3024,0.6911,3.984,1.0,0.0765
153035804-264_952.mp4,147,0.2861,0.503,2.0405,0.75,0.1202
153035804-264_952.mp4,295,0.4267,0.7056,3.319,0.8612,0.0831
153035804-264_952.mp4,442,0.2375,0.456,1.782,0.6545,0.148
153035804-264_952.mp4,590,0.3974,0.6887,2.7445,0.8659,0.1088
153035804-953_2005.mp4,0,0.3832,0.7364,4.756,0.9099,0.0615
153035804-953_2005.mp4,147,0.2619,0.6105,3.6798,0.9413,0.0722
153035804-953_2005.mp4,295,0.1659,0.1315,0.4403,0.131,0.0897
153035804-953_2005.mp4,442,0.3224,0.3968,1.2113,0.3992,0.1003
153035804-953_2005.mp4,590,0.4048,0.7916,4.2642,0.9712,0.0793
154530746-5021_6698.mp4,0,0.3609,0.6403,3.1469,0.9305,0.1123
154530746-5021_6698.mp4,147,0.3156,0.7154,3.9154,0.9767,0.1225
154530746-5021_6698.mp4,295,0.2282,0.5212,3.4316,0.9141,0.0952
154530746-5021_6698.mp4,442,0.315,0.5019,1.9895,0.6131,0.1012
154530746-5021_6698.mp4,590,0.2414,0.3719,1.4153,0.6074,0.1597
155272894-120_2206.mp4,0,0.3269,0.6737,3.5442,1.0,0.1037
155272894-120_2206.mp4,147,0.3779,0.5475,2.0262,0.6717,0.0986
155272894-120_2206.mp4,295,0.3139,0.5873,2.7242,0.8358,0.1351
155272894-120_2206.mp4,442,0.368,0.6107,2.4113,0.7971,0.1304
155272894-120_2206.mp4,590,0.374,0.6129,2.3858,0.8232,0.1398
155344465-0_1200.mp4,0,0.365,0.5494,1.8712,0.541,0.0967
155344465-0_1200.mp4,147,0.1858,0.2959,0.6744,0.2325,0.0883
155344465-0_1200.mp4,295,0.193,0.3657,1.4217,0.4069,0.1042
155344465-0_1200.mp4,442,0.1298,0.2475,1.5629,0.3582,0.0968
155344465-0_1200.mp4,590,0.3072,0.6027,3.8574,0.8382,0.085
156183618-0_938.mp4,0,0.3395,0.6649,2.9366,0.9403,0.0851
156183618-0_938.mp4,147,0.2538,0.267,0.9685,0.4555,0.1518
156183618-0_938.mp4,295,0.3671,0.5466,2.1787,0.7714,0.1209
156183618-0_938.mp4,442,0.3685,0.4885,1.8741,0.5524,0.1353
156183618-0_938.mp4,590,0.3933,0.6176,2.6677,0.8333,0.106
156787738-0_1510.mp4,0,0.3493,0.6519,3.1354,0.8507,0.0754
156787738-0_1510.mp4,147,0.4367,0.6637,2.2717,0.8199,0.1249
156787738-0_1510.mp4,295,0.3299,0.4641,1.5019,0.6716,0.1556
156787738-0_1510.mp4,442,0.3594,0.5682,1.9641,0.8213,0.1476
156787738-0_1510.mp4,590,0.3551,0.5294,1.7157,0.5735,0.111
158004101-0_1056.mp4,0,0.3438,0.5727,2.326,0.6857,0.0765
158004101-0_1056.mp4,147,0.3096,0.3436,1.0763,0.3256,0.0971
158004101-0_1056.mp4,295,0.2101,0.4284,2.3427,0.6772,0.0741
158004101-0_1056.mp4,442,0.3021,0.5148,4.1643,0.8579,0.0648
158004101-0_1056.mp4,590,0.3586,0.5249,1.9616,0.6508,0.1124
158004101-1057_2078.mp4,0,0.3972,0.538,1.9061,0.6094,0.0885
158004101-1057_2078.mp4,147,0.4876,0.6504,1.879,0.754,0.1225
158004101-1057_2078.mp4,295,0.235,0.4393,2.5842,0.8757,0.0967
158004101-1057_2078.mp4,442,0.2779,0.3528,1.2878,0.4355,0.1076
158004101-1057_2078.mp4,590,0.2454,0.2856,1.0162,0.3788,0.1391
158104644-938_1969.mp4,0,0.2486,0.3275,1.2992,0.4191,0.0907
158104644-938_1969.mp4,147,0.3469,0.5799,2.8647,0.8007,0.0984
158104644-938_1969.mp4,295,0.2491,0.5199,3.2032,0.9167,0.0808
158104644-938_1969.mp4,442,0.3605,0.6052,3.0243,0.782,0.0696
158104644-938_1969.mp4,590,0.3203,0.7555,4.6911,1.0,0.067
159089733-3109_4371.mp4,0,0.3729,0.5975,2.2786,0.658,0.1133
159089733-3109_4371.mp4,147,0.2209,0.4636,2.549,0.7708,0.0976
159089733-3109_4371.mp4,295,0.2588,0.6124,3.9229,0.9571,0.1224
159089733-3109_4371.mp4,442,0.2195,0.3175,1.4367,0.4857,0.0922
159089733-3109_4371.mp4,590,0.4015,0.7283,3.9717,0.9859,0.0907
159837780-963_2073.mp4,0,0.3416,0.5748,2.1909,0.7429,0.118
159837780-963_2073.mp4,147,0.3544,0.465,1.8737,0.5104,0.0812
159837780-963_2073.mp4,295,0.4017,0.7654,4.6582,0.9861,0.0801
159837780-963_2073.mp4,442,0.3225,0.5628,3.0532,0.9476,0.117
159837780-963_2073.mp4,590,0.3187,0.4444,2.2033,0.6575,0.104
160165069-0_480.mp4,0,0.3475,0.5033,2.1411,0.7404,0.1298
160165069-0_480.mp4,140,0.3396,0.4143,1.3155,0.5,0.1235
160165069-0_480.mp4,280,0.2661,0.2422,0.6569,0.3198,0.1442
160165069-0_480.mp4,420,0.2587,0.2705,0.758,0.3715,0.1593
160165069-0_480.mp4,561,0.1883,0.1653,0.3725,0.1857,0.1374
161259087-0_4489.mp4,0,0.2766,0.3684,1.3951,0.4312,0.1208
161259087-0_4489.mp4,147,0.3127,0.4223,1.3026,0.5709,0.152
161259087-0_4489.mp4,295,0.3375,0.4364,1.5338,0.6683,0.1709
161259087-0_4489.mp4,442,0.3775,0.4796,1.5462,0.568,0.1272
